username,n_comments_full,n_comments_truncated,trunc_top1_original_L0,trunc_top3_original_L0,trunc_top1_anonymized_L3,trunc_top3_anonymized_L3,full_top1_original_L0,full_top3_original_L0,full_top1_anonymized_L3,full_top3_anonymized_L3,trunc_top1_L0_ct,trunc_top3_L0_ct,trunc_top1_L3_ct,trunc_top3_L3_ct,full_top1_L0_ct,full_top3_L0_ct,full_top1_L3_ct,full_top3_L3_ct
OctopusOverture,13,13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3
RoamageRooster,13,13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
StellarStarfish,13,13,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
TurquoiseToucan,13,13,0.666667,1.000000,0.333333,0.333333,1.000000,1.000000,0.333333,0.333333,2/3,3/3,1/3,1/3,3/3,3/3,1/3,1/3
VibrantVulture,13,13,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0/1,1/1,0/1,0/1,0/1,1/1,0/1,0/1
WildWolf,13,13,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.500000,2/2,2/2,0/2,0/2,2/2,2/2,0/2,1/2
WiseMoose,13,13,0.666667,1.000000,0.666667,0.666667,0.666667,1.000000,0.333333,0.666667,2/3,3/3,2/3,2/3,2/3,3/3,1/3,2/3
WispWeasel,13,13,1.000000,1.000000,0.500000,0.833333,1.000000,1.000000,0.333333,0.666667,6/6,6/6,3/6,5/6,6/6,6/6,2/6,4/6
ZenZebra,13,13,0.666667,0.666667,0.333333,0.333333,0.666667,1.000000,0.000000,0.666667,2/3,2/3,1/3,1/3,2/3,3/3,0/3,2/3
ZingyZebra,13,13,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,2/2,2/2,1/2,1/2,2/2,2/2,1/2,1/2
CheeryCheetah,12,12,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.666667,0.666667,3/3,3/3,2/3,2/3,3/3,3/3,2/3,2/3
ExoticElephant,12,12,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2/2,2/2,1/2,2/2,2/2,2/2,2/2,2/2
FathomFable,12,12,0.666667,1.000000,0.333333,0.333333,0.666667,1.000000,0.333333,0.666667,2/3,3/3,1/3,1/3,2/3,3/3,1/3,2/3
HummingbirdHalo,12,12,1.000000,1.000000,0.500000,0.750000,0.750000,1.000000,0.500000,0.750000,4/4,4/4,2/4,3/4,3/4,4/4,2/4,3/4
